Borough,PopulationEstimate_2017,AverageAge_2017
Barking and Dagenham,209000,32.9
Barnet,389600,37.3
Bexley,244300,39
Brent,332100,35.6
Bromley,327900,40.2
Camden,242500,36.4
Croydon,386500,37
Ealing,351600,36.2
Enfield,333000,36.3
Greenwich,280100,35
Hackney,274300,33.1
Hammersmith and Fulham,185300,35.7
Haringey,278000,35.1
Harrow,252300,38.3
Havering,254300,40.3
Hillingdon,301000,36.4
Hounslow,274200,35.8
Islington,231200,34.8
Kensington and Chelsea,159000,39.3
Kingston upon Thames,175400,37.1
Lambeth,328900,34.5
Lewisham,303400,35
Merton,208100,36.7
Newham,342900,32.1
Redbridge,304200,35.8
Richmond upon Thames,197300,38.8
Southwark,314300,34.4
Sutton,202600,38.9
Tower Hamlets,304000,31.4
Waltham Forest,276200,35.1
Wandsworth,321000,35
Westminster,242100,37.7
