OCU Name,SNT Code,SNT Name,Latitude (generated),Longitude (generated),Sum Value
Westminster,RPST,St James Park,51.502728,-0.133745,386
Richmond upon Thames,RPRI,Richmond Park,51.4417,-0.275066,170
Westminster,RPRE,Regents Park and Primrose Hill,51.531772,-0.155752,332
Westminster,RPHY,Hyde Park and Kensington Gardens,51.506936,-0.171263,1618
Greenwich,RPGR,Greenwich Park,51.47722,0.000932,74
Richmond upon Thames,RPBU,Bushy Park,51.415436,-0.339875,188
Croydon,00ZD29,Norbury and Pollards Hill,51.405932,-0.12265,1886
Croydon,00ZD28,Shirley North,51.383228,-0.049978,1849
Croydon,00ZD27,South Croydon,51.357388,-0.086562,2462
Southwark,00MD23,Goose Green,51.457888,-0.075068,2232
Southwark,00MD22,St George's,51.496912,-0.104491,2724
Westminster,00BKGU,Westbourne,51.521204,-0.19376,2836
Westminster,00BKGR,Tachbrook,51.487824,-0.134301,1258
Westminster,00BKGN,Queen's Park,51.529404,-0.208688,2291
Westminster,00BKGL,Maida Vale,51.529744,-0.189492,1642
Westminster,00BKGJ,Lancaster Gate,51.513124,-0.185356,5306
Westminster,00BKGF,Harrow Road,51.52656,-0.199501,2244
Westminster,00BKGB,Bayswater,51.517028,-0.191911,2773
Westminster,00BKGA,Abbey Road,51.53482,-0.178172,1600
Westminster,00BK21N,West End and China Town,51.509496,-0.131107,12433
Westminster,00BK20N,Warwick,51.49082,-0.142878,1908
Westminster,00BK19N,Vincent Square,51.494748,-0.131485,4840
Westminster,00BK18N,Victoria Business and Transport,51.495932,-0.143349,4311
Westminster,00BK17N,Strand and Whitehall,51.505036,-0.129495,11902
Westminster,00BK16N,Soho,51.513396,-0.134791,16255
Westminster,00BK15N,Regent's Park,51.529076,-0.167327,1994
Westminster,00BK14N,Oxford Street Regent Street and Bond Street,51.513524,-0.145582,26758
Westminster,00BK13N,Mayfair and St James,51.509184,-0.146482,10908
Westminster,00BK12N,Marylebone High Street,51.518724,-0.152344,6112
Westminster,00BK11N,Little Venice,51.523456,-0.180489,2520
Westminster,00BK09N,Knightsbridge and Belgravia,51.500296,-0.163086,3591
Westminster,00BK08N,Hyde Park,51.51604,-0.172644,6718
Westminster,00BK07N,Covent Garden,51.512192,-0.123645,8095
Westminster,00BK06N,Churchill,51.487536,-0.146892,1464
Westminster,00BK05N,Church Street,51.523948,-0.169463,2212
Westminster,00BK03N,Bryanston and Dorset Square,51.51976,-0.161884,4297
Wandsworth,00BJGU,West Putney,51.458224,-0.233752,1996
Wandsworth,00BJGT,West Hill,51.4446,-0.214364,1640
Wandsworth,00BJGS,Wandsworth Common,51.447052,-0.175887,2599
Wandsworth,00BJGQ,Thamesfield,51.465236,-0.216905,3348
Wandsworth,00BJGP,Southfields,51.447252,-0.198624,3013
Wandsworth,00BJGN,Shaftesbury,51.465276,-0.157853,2681
Wandsworth,00BJGM,St Mary's Park,51.473668,-0.173624,2614
Wandsworth,00BJGL,Roehampton and Putney Heath,51.448416,-0.240662,3184
Wandsworth,00BJGK,Queenstown,51.47804,-0.147168,3557
Wandsworth,00BJGJ,Northcote,51.457708,-0.163457,3376
Wandsworth,00BJGH,Nightingale,51.443048,-0.159875,2172
Wandsworth,00BJGG,Latchmere,51.468368,-0.168744,2792
Wandsworth,00BJGE,Furzedown,51.42454,-0.14648,1933
Wandsworth,00BJGD,Fairfield,51.458932,-0.188286,2998
Wandsworth,00BJGC,East Putney,51.455816,-0.212668,1679
Wandsworth,00BJGB,Earlsfield,51.440092,-0.185717,2199
Wandsworth,00BJGA,Bedford,51.435656,-0.147937,1838
